Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks,TruckCar_Percentage
1085.jpg,10,5,4,1,50.0
1086.jpg,10,2,6,2,80.0
1087.jpg,8,1,6,1,87.5
1088.jpg,7,2,4,1,71.42857142857143
1089.jpg,10,3,6,1,70.0
1090.jpg,12,4,6,2,66.66666666666666
1091.jpg,5,3,0,2,40.0
1092.jpg,13,6,5,2,53.84615384615385
1093.jpg,6,0,4,2,100.0
1094.jpg,10,5,2,3,50.0
1095.jpg,9,3,2,4,66.66666666666666
1096.jpg,13,3,6,4,76.92307692307693
1097.jpg,4,0,3,1,100.0
1098.jpg,7,2,4,1,71.42857142857143
1099.jpg,11,4,3,4,63.63636363636363
1100.jpg,6,0,3,3,100.0
1101.jpg,10,2,4,4,80.0
1102.jpg,9,5,2,2,44.44444444444444
1103.jpg,4,2,1,1,50.0
1104.jpg,11,7,3,1,36.36363636363637
1105.jpg,9,7,0,2,22.22222222222222
1106.jpg,9,6,1,2,33.33333333333333
1107.jpg,10,7,1,2,30.0
1108.jpg,9,7,2,0,22.22222222222222
1109.jpg,6,4,2,0,33.33333333333333
1110.jpg,11,7,3,1,36.36363636363637
1111.jpg,7,5,1,1,28.57142857142857
1112.jpg,6,5,1,0,16.666666666666664
1113.jpg,6,3,1,2,50.0
1114.jpg,5,4,1,0,20.0
1115.jpg,3,2,1,0,33.33333333333333
1116.jpg,3,1,1,1,66.66666666666666
1117.jpg,7,6,0,1,14.285714285714285
1118.jpg,4,3,0,1,25.0
1119.jpg,3,2,1,0,33.33333333333333
1120.jpg,7,6,1,0,14.285714285714285
1121.jpg,7,5,2,0,28.57142857142857
1122.jpg,6,5,1,0,16.666666666666664
1123.jpg,6,5,1,0,16.666666666666664
1124.jpg,10,7,2,1,30.0
1125.jpg,8,4,4,0,50.0
1126.jpg,7,5,1,1,28.57142857142857
1127.jpg,7,6,1,0,14.285714285714285
1128.jpg,2,0,2,0,100.0
1129.jpg,5,2,3,0,60.0
1130.jpg,10,3,5,2,70.0
1131.jpg,10,6,4,0,40.0
1132.jpg,5,3,1,1,40.0
1133.jpg,7,6,1,0,14.285714285714285
1134.jpg,7,6,1,0,14.285714285714285
1135.jpg,8,4,2,2,50.0
1136.jpg,6,3,3,0,50.0
1137.jpg,4,3,1,0,25.0
1138.jpg,3,0,3,0,100.0
1139.jpg,3,2,1,0,33.33333333333333
1140.jpg,6,5,1,0,16.666666666666664
1141.jpg,6,4,2,0,33.33333333333333
1142.jpg,4,1,3,0,75.0
1143.jpg,4,1,2,1,75.0
1144.jpg,4,3,1,0,25.0
1145.jpg,3,0,3,0,100.0
1146.jpg,17,11,4,2,35.294117647058826
1147.jpg,4,1,2,1,75.0
1148.jpg,5,0,2,3,100.0
1149.jpg,5,2,3,0,60.0
1150.jpg,3,1,2,0,66.66666666666666
1151.jpg,2,1,0,1,50.0
1152.jpg,5,2,2,1,60.0
1153.jpg,8,6,2,0,25.0
1154.jpg,5,0,5,0,100.0
1155.jpg,4,0,3,1,100.0
1156.jpg,4,3,1,0,25.0
1157.jpg,16,8,5,3,50.0
1158.jpg,1,0,1,0,100.0
1159.jpg,2,0,1,1,100.0
1160.jpg,6,4,2,0,33.33333333333333
1161.jpg,5,3,2,0,40.0
1162.jpg,8,6,2,0,25.0
1163.jpg,8,7,1,0,12.5
1164.jpg,6,2,3,1,66.66666666666666
1165.jpg,9,6,2,1,33.33333333333333
1166.jpg,11,7,3,1,36.36363636363637
1167.jpg,4,3,1,0,25.0
1168.jpg,15,6,6,3,60.0
1169.jpg,7,4,3,0,42.857142857142854
1170.jpg,6,3,3,0,50.0
1171.jpg,12,8,3,1,33.33333333333333
1172.jpg,9,6,2,1,33.33333333333333
1173.jpg,9,5,4,0,44.44444444444444
1174.jpg,7,2,5,0,71.42857142857143
1175.jpg,7,4,3,0,42.857142857142854
1176.jpg,5,3,2,0,40.0
1177.jpg,4,3,1,0,25.0
1178.jpg,4,3,1,0,25.0
1179.jpg,9,6,2,1,33.33333333333333
1180.jpg,5,3,2,0,40.0
1181.jpg,2,1,1,0,50.0
1182.jpg,6,3,3,0,50.0
1183.jpg,6,2,3,1,66.66666666666666
1184.jpg,8,4,3,1,50.0
1185.jpg,7,3,4,0,57.14285714285714
1186.jpg,9,6,2,1,33.33333333333333
1187.jpg,5,4,1,0,20.0
1188.jpg,8,6,2,0,25.0
1189.jpg,3,2,1,0,33.33333333333333
1190.jpg,5,5,0,0,0.0
1191.jpg,2,1,1,0,50.0
1192.jpg,7,4,3,0,42.857142857142854
1193.jpg,7,3,4,0,57.14285714285714
1194.jpg,4,1,3,0,75.0
1195.jpg,4,0,4,0,100.0
1196.jpg,4,2,1,1,50.0
1197.jpg,8,7,1,0,12.5
1198.jpg,6,5,1,0,16.666666666666664
1199.jpg,8,7,1,0,12.5
1200.jpg,4,0,3,1,100.0
1201.jpg,4,4,0,0,0.0
1202.jpg,1,0,1,0,100.0
1203.jpg,6,4,1,1,33.33333333333333
1204.jpg,3,0,2,1,100.0
1205.jpg,7,4,2,1,42.857142857142854
1206.jpg,6,3,2,1,50.0
1207.jpg,2,1,0,1,50.0
1208.jpg,6,5,0,1,16.666666666666664
1209.jpg,8,7,0,1,12.5
1210.jpg,10,8,1,1,20.0
1211.jpg,7,3,3,1,57.14285714285714
1212.jpg,10,8,2,0,20.0
1213.jpg,7,3,4,0,57.14285714285714
1214.jpg,9,6,3,0,33.33333333333333
1215.jpg,12,5,5,2,58.333333333333336
1216.jpg,11,9,2,0,18.181818181818183
1217.jpg,3,2,0,1,33.33333333333333
1218.jpg,7,4,1,2,42.857142857142854
1219.jpg,10,7,0,3,30.0
1220.jpg,6,3,1,2,50.0
1221.jpg,6,4,1,1,33.33333333333333
1222.jpg,10,8,1,1,20.0
1223.jpg,9,5,3,1,44.44444444444444
1224.jpg,10,7,2,1,30.0
1225.jpg,9,6,2,1,33.33333333333333
1226.jpg,8,3,4,1,62.5
1227.jpg,5,3,1,1,40.0
1228.jpg,8,5,1,2,37.5
1229.jpg,8,4,3,1,50.0
1230.jpg,5,3,1,1,40.0
1231.jpg,3,1,1,1,66.66666666666666
1232.jpg,5,1,3,1,80.0
1233.jpg,7,1,5,1,85.71428571428571
1234.jpg,8,8,0,0,0.0
1235.jpg,10,4,4,2,60.0
1236.jpg,8,3,3,2,62.5
1237.jpg,8,4,3,1,50.0
1238.jpg,5,1,3,1,80.0
1239.jpg,7,2,3,2,71.42857142857143
1240.jpg,9,1,3,5,88.88888888888889
1241.jpg,6,2,3,1,66.66666666666666
1242.jpg,7,4,2,1,42.857142857142854
1243.jpg,6,3,1,2,50.0
1244.jpg,6,0,3,3,100.0
1245.jpg,6,6,0,0,0.0
1246.jpg,6,2,2,2,66.66666666666666
1247.jpg,4,3,0,1,25.0
1248.jpg,9,7,1,1,22.22222222222222
1249.jpg,12,9,2,1,25.0
1250.jpg,8,8,0,0,0.0
1251.jpg,10,6,3,1,40.0
1252.jpg,12,5,4,3,58.333333333333336
1253.jpg,9,2,4,3,77.77777777777779
1254.jpg,8,3,5,0,62.5
1255.jpg,5,2,2,1,60.0
1256.jpg,9,6,2,1,33.33333333333333
1257.jpg,10,3,5,2,70.0
1258.jpg,8,5,1,2,37.5
1259.jpg,9,4,4,1,55.55555555555556
1260.jpg,5,2,3,0,60.0
1261.jpg,8,3,4,1,62.5
1262.jpg,10,6,4,0,40.0
1263.jpg,7,3,3,1,57.14285714285714
1264.jpg,6,2,1,3,66.66666666666666
1265.jpg,4,1,1,2,75.0
1266.jpg,6,2,3,1,66.66666666666666
1267.jpg,7,4,2,1,42.857142857142854
1268.jpg,5,3,1,1,40.0
1269.jpg,5,2,2,1,60.0
1270.jpg,2,1,1,0,50.0
1271.jpg,8,5,1,2,37.5
1272.jpg,10,6,2,2,40.0
1273.jpg,10,5,2,3,50.0
1274.jpg,9,4,3,2,55.55555555555556
1275.jpg,7,2,3,2,71.42857142857143
1276.jpg,8,5,1,2,37.5
1277.jpg,7,1,4,2,85.71428571428571
1278.jpg,8,6,2,0,25.0
1279.jpg,10,7,2,1,30.0
1280.jpg,6,4,1,1,33.33333333333333
1281.jpg,8,3,3,2,62.5
1282.jpg,11,2,6,3,81.81818181818183
1283.jpg,10,3,5,2,70.0
1284.jpg,9,4,3,2,55.55555555555556
1285.jpg,12,8,3,1,33.33333333333333
1286.jpg,15,8,4,3,46.666666666666664
1287.jpg,12,4,6,2,66.66666666666666
1288.jpg,11,7,1,3,36.36363636363637
1289.jpg,9,6,1,2,33.33333333333333
1290.jpg,5,3,0,2,40.0
1291.jpg,11,9,1,1,18.181818181818183
1292.jpg,12,4,4,4,66.66666666666666
1293.jpg,8,3,3,2,62.5
1294.jpg,12,8,3,1,33.33333333333333
1295.jpg,12,8,2,2,33.33333333333333
1296.jpg,12,7,2,3,41.66666666666667
1297.jpg,10,2,4,4,80.0
1298.jpg,15,10,4,1,33.33333333333333
1299.jpg,11,7,2,2,36.36363636363637
1300.jpg,9,8,0,1,11.11111111111111
1301.jpg,17,10,4,3,41.17647058823529
1302.jpg,12,6,4,2,50.0
1303.jpg,10,6,3,1,40.0
1304.jpg,10,5,3,2,50.0
1305.jpg,7,4,1,2,42.857142857142854
1306.jpg,7,3,3,1,57.14285714285714
1307.jpg,9,1,4,4,88.88888888888889
1308.jpg,7,4,0,3,42.857142857142854
1309.jpg,8,5,3,0,37.5
1310.jpg,13,8,4,1,38.46153846153847
1311.jpg,9,5,1,3,44.44444444444444
1312.jpg,11,5,5,1,54.54545454545454
1313.jpg,8,4,4,0,50.0
1314.jpg,11,8,2,1,27.27272727272727
1315.jpg,10,8,2,0,20.0
1316.jpg,10,7,3,0,30.0
1317.jpg,6,3,2,1,50.0
1318.jpg,7,7,0,0,0.0
1319.jpg,5,4,1,0,20.0
1320.jpg,10,6,2,2,40.0
1321.jpg,9,5,3,1,44.44444444444444
1322.jpg,11,9,1,1,18.181818181818183
1323.jpg,7,5,1,1,28.57142857142857
1324.jpg,7,6,1,0,14.285714285714285
1325.jpg,8,5,2,1,37.5
1326.jpg,10,3,6,1,70.0
1327.jpg,13,4,8,1,69.23076923076923
1328.jpg,10,5,5,0,50.0
1329.jpg,12,6,5,1,50.0
1330.jpg,14,7,6,1,50.0
1331.jpg,9,1,6,2,88.88888888888889
1332.jpg,10,4,3,3,60.0
1333.jpg,8,7,0,1,12.5
1334.jpg,8,4,3,1,50.0
1335.jpg,11,5,5,1,54.54545454545454
1336.jpg,9,4,3,2,55.55555555555556
1337.jpg,13,6,4,3,53.84615384615385
1338.jpg,9,6,2,1,33.33333333333333
1339.jpg,10,7,0,3,30.0
1340.jpg,13,10,1,2,23.076923076923077
1341.jpg,11,7,2,2,36.36363636363637
1342.jpg,11,7,2,2,36.36363636363637
1343.jpg,13,9,3,1,30.76923076923077
1344.jpg,8,7,1,0,12.5
1345.jpg,16,11,4,1,31.25
1346.jpg,9,5,3,1,44.44444444444444
1347.jpg,12,6,4,2,50.0
1348.jpg,10,6,3,1,40.0
1349.jpg,15,10,4,1,33.33333333333333
1350.jpg,14,8,5,1,42.857142857142854
1351.jpg,14,6,6,2,57.14285714285714
1352.jpg,10,5,3,2,50.0
1353.jpg,9,4,2,3,55.55555555555556
1354.jpg,11,4,3,4,63.63636363636363
1355.jpg,11,10,0,1,9.090909090909092
1356.jpg,14,3,6,5,78.57142857142857
1357.jpg,15,8,3,4,46.666666666666664
1358.jpg,12,6,4,2,50.0
1359.jpg,11,2,5,4,81.81818181818183
1360.jpg,8,3,3,2,62.5
1361.jpg,12,4,4,4,66.66666666666666
1362.jpg,12,6,5,1,50.0
1363.jpg,8,2,3,3,75.0
1364.jpg,7,2,2,3,71.42857142857143
1365.jpg,11,4,4,3,63.63636363636363
1366.jpg,10,10,0,0,0.0
1367.jpg,12,7,1,4,41.66666666666667
1368.jpg,9,4,2,3,55.55555555555556
1369.jpg,9,3,2,4,66.66666666666666
1370.jpg,7,2,2,3,71.42857142857143
1371.jpg,9,3,3,3,66.66666666666666
1372.jpg,8,3,3,2,62.5
1373.jpg,8,1,5,2,87.5
1374.jpg,11,3,5,3,72.72727272727273
1375.jpg,11,1,7,3,90.9090909090909
1376.jpg,14,7,6,1,50.0
1377.jpg,13,11,0,2,15.384615384615385
1378.jpg,13,5,7,1,61.53846153846154
1379.jpg,14,8,5,1,42.857142857142854
1380.jpg,13,3,9,1,76.92307692307693
1381.jpg,14,7,5,2,50.0
1382.jpg,13,6,3,4,53.84615384615385
1383.jpg,11,7,1,3,36.36363636363637
1384.jpg,9,6,1,2,33.33333333333333
1385.jpg,10,9,0,1,10.0
1386.jpg,11,6,4,1,45.45454545454545
1387.jpg,8,3,3,2,62.5
1388.jpg,10,6,2,2,40.0
1389.jpg,5,4,0,1,20.0
1390.jpg,6,4,1,1,33.33333333333333
1391.jpg,11,9,0,2,18.181818181818183
1392.jpg,12,9,2,1,25.0
1393.jpg,4,2,1,1,50.0
1394.jpg,11,5,3,3,54.54545454545454
1395.jpg,13,5,4,4,61.53846153846154
1396.jpg,14,8,2,4,42.857142857142854
1397.jpg,12,7,1,4,41.66666666666667
1398.jpg,13,6,3,4,53.84615384615385
1399.jpg,12,4,3,5,66.66666666666666
1400.jpg,17,6,6,5,64.70588235294117
1401.jpg,20,7,8,5,65.0
1402.jpg,14,9,3,2,35.714285714285715
1403.jpg,10,3,4,3,70.0
1404.jpg,12,6,4,2,50.0
1405.jpg,8,1,4,3,87.5
1406.jpg,12,8,2,2,33.33333333333333
1407.jpg,12,3,4,5,75.0
1408.jpg,13,5,4,4,61.53846153846154
1409.jpg,10,2,4,4,80.0
1410.jpg,9,2,2,5,77.77777777777779
1411.jpg,9,2,4,3,77.77777777777779
1412.jpg,5,1,1,3,80.0
1413.jpg,6,1,2,3,83.33333333333334
1414.jpg,9,1,5,3,88.88888888888889
1415.jpg,7,0,5,2,100.0
1416.jpg,8,1,3,4,87.5
1417.jpg,9,4,1,4,55.55555555555556
1418.jpg,9,3,5,1,66.66666666666666
1419.jpg,13,2,7,4,84.61538461538461
1420.jpg,12,2,8,2,83.33333333333334
1421.jpg,10,7,2,1,30.0
1422.jpg,12,5,5,2,58.333333333333336
1423.jpg,11,5,5,1,54.54545454545454
1424.jpg,13,5,5,3,61.53846153846154
1425.jpg,16,8,7,1,50.0
1426.jpg,8,4,3,1,50.0
1427.jpg,10,3,4,3,70.0
1428.jpg,12,7,2,3,41.66666666666667
1429.jpg,14,3,10,1,78.57142857142857
1430.jpg,15,8,7,0,46.666666666666664
1431.jpg,7,2,4,1,71.42857142857143
1432.jpg,7,5,1,1,28.57142857142857
1433.jpg,8,2,4,2,75.0
1434.jpg,9,3,3,3,66.66666666666666
1435.jpg,9,4,1,4,55.55555555555556
1436.jpg,4,0,2,2,100.0
1437.jpg,13,6,5,2,53.84615384615385
1438.jpg,7,0,4,3,100.0
1439.jpg,9,3,3,3,66.66666666666666
1440.jpg,12,7,3,2,41.66666666666667
1441.jpg,7,1,4,2,85.71428571428571
1442.jpg,14,6,3,5,57.14285714285714
1443.jpg,10,4,3,3,60.0
1444.jpg,9,1,3,5,88.88888888888889
1445.jpg,11,3,4,4,72.72727272727273
1446.jpg,18,11,4,3,38.88888888888889
1447.jpg,14,4,4,6,71.42857142857143
1448.jpg,15,3,6,6,80.0
1449.jpg,19,5,8,6,73.68421052631578
1450.jpg,14,5,5,4,64.28571428571429
1451.jpg,13,6,2,5,53.84615384615385
1452.jpg,13,8,3,2,38.46153846153847
1453.jpg,11,4,3,4,63.63636363636363
1454.jpg,14,6,5,3,57.14285714285714
1455.jpg,9,4,0,5,55.55555555555556
1456.jpg,14,10,4,0,28.57142857142857
1457.jpg,11,5,3,3,54.54545454545454
1458.jpg,10,2,3,5,80.0
1459.jpg,14,5,5,4,64.28571428571429
1460.jpg,7,2,2,3,71.42857142857143
1461.jpg,8,5,3,0,37.5
1462.jpg,9,4,1,4,55.55555555555556
1463.jpg,11,5,3,3,54.54545454545454
1464.jpg,13,7,5,1,46.15384615384615
1465.jpg,15,9,5,1,40.0
1466.jpg,12,6,5,1,50.0
1467.jpg,14,6,5,3,57.14285714285714
1468.jpg,14,4,5,5,71.42857142857143
1469.jpg,16,5,8,3,68.75
1470.jpg,10,5,2,3,50.0
1471.jpg,10,6,3,1,40.0
1472.jpg,15,5,7,3,66.66666666666666
1473.jpg,16,5,7,4,68.75
1474.jpg,11,5,4,2,54.54545454545454
1475.jpg,11,4,3,4,63.63636363636363
1476.jpg,12,7,2,3,41.66666666666667
1477.jpg,8,3,3,2,62.5
1478.jpg,11,4,4,3,63.63636363636363
1479.jpg,7,1,2,4,85.71428571428571
1480.jpg,10,4,3,3,60.0
1481.jpg,12,7,4,1,41.66666666666667
1482.jpg,17,12,4,1,29.411764705882355
1483.jpg,14,7,6,1,50.0
1484.jpg,10,7,2,1,30.0
1485.jpg,15,10,5,0,33.33333333333333
1486.jpg,14,6,6,2,57.14285714285714
1487.jpg,11,5,3,3,54.54545454545454
1488.jpg,14,6,7,1,57.14285714285714
1489.jpg,12,4,5,3,66.66666666666666
1490.jpg,14,9,4,1,35.714285714285715
1491.jpg,14,8,4,2,42.857142857142854
1492.jpg,15,5,7,3,66.66666666666666
1493.jpg,15,7,6,2,53.333333333333336
1494.jpg,16,11,4,1,31.25
1495.jpg,15,9,4,2,40.0
1496.jpg,16,7,6,3,56.25
1497.jpg,16,7,6,3,56.25
1498.jpg,13,6,4,3,53.84615384615385
1499.jpg,13,3,8,2,76.92307692307693
1500.jpg,18,7,9,2,61.111111111111114
1501.jpg,15,9,4,2,40.0
1502.jpg,16,10,4,2,37.5
1503.jpg,11,8,2,1,27.27272727272727
1504.jpg,10,8,1,1,20.0
1505.jpg,17,12,3,2,29.411764705882355
1506.jpg,17,10,5,2,41.17647058823529
1507.jpg,17,8,6,3,52.94117647058824
1508.jpg,18,9,6,3,50.0
1509.jpg,17,8,5,4,52.94117647058824
1510.jpg,14,10,0,4,28.57142857142857
1511.jpg,9,5,1,3,44.44444444444444
1512.jpg,7,2,2,3,71.42857142857143
1513.jpg,9,2,3,4,77.77777777777779
1514.jpg,8,5,3,0,37.5
1515.jpg,10,4,4,2,60.0
1516.jpg,9,3,3,3,66.66666666666666
1517.jpg,8,2,4,2,75.0
1518.jpg,8,3,2,3,62.5
1519.jpg,12,9,1,2,25.0
1520.jpg,14,8,4,2,42.857142857142854
1521.jpg,8,4,2,2,50.0
1522.jpg,11,7,2,2,36.36363636363637
1523.jpg,19,9,7,3,52.63157894736842
1524.jpg,13,7,4,2,46.15384615384615
1525.jpg,11,7,2,2,36.36363636363637
1526.jpg,6,2,1,3,66.66666666666666
1527.jpg,12,6,3,3,50.0
1528.jpg,15,8,3,4,46.666666666666664
1529.jpg,16,11,4,1,31.25
1530.jpg,13,10,2,1,23.076923076923077
1531.jpg,14,10,2,2,28.57142857142857
1532.jpg,9,2,4,3,77.77777777777779
1533.jpg,11,2,5,4,81.81818181818183
1534.jpg,12,3,5,4,75.0
1535.jpg,8,4,1,3,50.0
1536.jpg,5,3,1,1,40.0
1537.jpg,7,4,2,1,42.857142857142854
1538.jpg,7,5,1,1,28.57142857142857
1539.jpg,12,6,3,3,50.0
1540.jpg,7,4,2,1,42.857142857142854
1541.jpg,15,7,7,1,53.333333333333336
1542.jpg,5,2,1,2,60.0
1543.jpg,14,8,4,2,42.857142857142854
1544.jpg,11,5,4,2,54.54545454545454
1545.jpg,13,9,1,3,30.76923076923077
1546.jpg,14,10,1,3,28.57142857142857
1547.jpg,7,3,1,3,57.14285714285714
1548.jpg,14,7,3,4,50.0
1549.jpg,11,8,1,2,27.27272727272727
1550.jpg,15,7,4,4,53.333333333333336
1551.jpg,11,6,3,2,45.45454545454545
1552.jpg,15,7,5,3,53.333333333333336
1553.jpg,10,7,1,2,30.0
1554.jpg,11,4,3,4,63.63636363636363
1555.jpg,13,8,3,2,38.46153846153847
1556.jpg,12,6,3,3,50.0
1557.jpg,12,4,4,4,66.66666666666666
1558.jpg,14,7,5,2,50.0
1559.jpg,10,4,5,1,60.0
1560.jpg,15,5,6,4,66.66666666666666
1561.jpg,16,5,7,4,68.75
1562.jpg,15,3,7,5,80.0
1563.jpg,7,4,2,1,42.857142857142854
1564.jpg,14,7,4,3,50.0
1565.jpg,6,2,1,3,66.66666666666666
1566.jpg,12,8,2,2,33.33333333333333
1567.jpg,11,6,2,3,45.45454545454545
1568.jpg,17,13,2,2,23.52941176470588
1569.jpg,11,6,2,3,45.45454545454545
1570.jpg,5,3,0,2,40.0
1571.jpg,10,6,1,3,40.0
1572.jpg,9,7,0,2,22.22222222222222
1573.jpg,13,7,2,4,46.15384615384615
1574.jpg,12,6,3,3,50.0
1575.jpg,15,10,2,3,33.33333333333333
1576.jpg,14,8,4,2,42.857142857142854
1577.jpg,9,1,5,3,88.88888888888889
1578.jpg,12,9,2,1,25.0
1579.jpg,5,2,1,2,60.0
1580.jpg,12,5,3,4,58.333333333333336
1581.jpg,16,6,4,6,62.5
1582.jpg,16,8,4,4,50.0
1583.jpg,12,3,3,6,75.0
1584.jpg,12,7,1,4,41.66666666666667
1585.jpg,12,6,2,4,50.0
1586.jpg,12,8,1,3,33.33333333333333
1587.jpg,7,2,2,3,71.42857142857143
1588.jpg,9,4,3,2,55.55555555555556
1589.jpg,9,5,3,1,44.44444444444444
1590.jpg,14,4,6,4,71.42857142857143
1591.jpg,10,4,4,2,60.0
1592.jpg,10,4,4,2,60.0
1593.jpg,8,6,1,1,25.0
1594.jpg,11,6,2,3,45.45454545454545
1595.jpg,16,13,0,3,18.75
1596.jpg,10,6,1,3,40.0
1597.jpg,17,10,4,3,41.17647058823529
1598.jpg,12,9,0,3,25.0
1599.jpg,5,3,0,2,40.0
1600.jpg,9,5,2,2,44.44444444444444
1601.jpg,6,3,1,2,50.0
1602.jpg,10,7,2,1,30.0
1603.jpg,8,4,2,2,50.0
1604.jpg,17,11,4,2,35.294117647058826
1605.jpg,16,8,5,3,50.0
1606.jpg,15,6,6,3,60.0
1607.jpg,9,6,2,1,33.33333333333333
1608.jpg,14,8,3,3,42.857142857142854
1609.jpg,5,5,0,0,0.0
1610.jpg,4,4,0,0,0.0
1611.jpg,10,8,2,0,20.0
1612.jpg,9,5,3,1,44.44444444444444
1613.jpg,8,8,0,0,0.0
1614.jpg,6,6,0,0,0.0
1615.jpg,9,6,2,1,33.33333333333333
1616.jpg,7,4,2,1,42.857142857142854
1617.jpg,8,6,2,0,25.0
1618.jpg,9,6,1,2,33.33333333333333
1619.jpg,12,6,4,2,50.0
1620.jpg,9,8,0,1,11.11111111111111
